Date,Actual_AQI,ARIMA_Predicted,Residual,Split
2019-01-01,314.5,0.0,314.5,train
2019-01-02,224.0,314.25380726245004,-90.25380726245004,train
2019-01-03,312.5,248.57834715937574,63.92165284062426,train
2019-01-04,320.2,304.0100120523561,16.189987947643885,train
2019-01-05,148.5,307.5697610235786,-159.06976102357862,train
2019-01-06,193.9,209.31765150464204,-15.417651504642038,train
2019-01-07,236.9,231.66304515273046,5.236954847269544,train
2019-01-08,249.6,248.95250592448184,0.6474940755181535,train
2019-01-09,286.0,253.24268178146423,32.75731821853577,train
2019-01-10,213.3,271.4181280227854,-58.11812802278541,train
2019-01-11,314.9,234.47202885421723,80.42797114578275,train
2019-01-12,313.1,285.9938216185576,27.10617838144242,train
2019-01-13,292.3,283.91926043062665,8.380739569373361,train
2019-01-14,320.2,275.8004488390445,44.39955116095547,train
2019-01-15,320.2,290.89980023115,29.300199768850007,train
2019-01-16,260.8,291.6884561575496,-30.88845615754957,train
2019-01-17,307.2,264.89487804050054,42.305121959499445,train
2019-01-18,220.2,288.55331238795003,-68.35331238795004,train
2019-01-19,301.9,246.9536868665805,54.946313133419466,train
2019-01-20,262.2,286.91844077494704,-24.718440774947055,train
2019-01-21,273.4,266.4946384002371,6.905361599762898,train
2019-01-22,231.0,272.96315504280255,-41.963155042802555,train
2019-01-23,320.2,252.92533294140242,67.27466705859757,train
2019-01-24,307.7,294.8088815856845,12.891118414315486,train
2019-01-25,275.8,287.35473278874514,-11.554732788745127,train
2019-01-26,222.8,273.9997415743062,-51.19974157430619,train
2019-01-27,279.0,250.6209416512855,28.379058348714494,train
2019-01-28,308.2,277.12904058633404,31.070959413665946,train
2019-01-29,314.4,288.9832134807334,25.416786519266566,train
2019-01-30,317.2,291.85918002707854,25.34081997292145,train
2019-01-31,320.2,293.92411938039686,26.27588061960313,train
2019-02-01,315.1,296.21122857487427,18.888771425125753,train
2019-02-02,243.8,294.83986644175496,-51.03986644175495,train
2019-02-03,171.5,263.2072589261719,-91.7072589261719,train
2019-02-04,303.6,231.67577178112322,71.9242282188768,train
2019-02-05,320.2,292.46390141807103,27.736098581928957,train
2019-02-06,309.6,296.6197283274517,12.980271672548326,train
2019-02-07,233.5,292.4848509372129,-58.98485093721291,train
2019-02-08,224.3,258.6263529680461,-34.32635296804608,train
2019-02-09,269.9,255.91980502931645,13.980194970683527,train
2019-02-10,302.2,276.0273342762916,26.172665723708405,train
2019-02-11,313.6,289.38655516797405,24.21344483202597,train
2019-02-12,256.6,294.2728100297254,-37.67281002972538,train
2019-02-13,301.6,268.57342997190443,33.02657002809559,train
2019-02-14,303.2,290.6158453339772,12.584154666022812,train
2019-02-15,306.1,290.40864556462714,15.691354435372887,train
2019-02-16,301.9,292.35020345516875,9.549796544831224,train
2019-02-17,288.6,290.9562652272377,-2.3562652272376567,train
2019-02-18,313.7,285.53365263195053,28.166347368049458,train
2019-02-19,306.3,297.730068463969,8.569931536030992,train
2019-02-20,308.1,294.3309187448576,13.769081255142396,train
2019-02-21,316.3,296.0639408788176,20.236059121182393,train
2019-02-22,199.1,300.41830268623454,-101.31830268623455,train
2019-02-23,179.5,247.30209870391414,-67.80209870391414,train
2019-02-24,166.1,240.4356919786941,-74.33569197869411,train
2019-02-25,177.3,232.80131686887938,-55.50131686887937,train
2019-02-26,214.3,236.1265545360519,-21.8265545360519,train
2019-02-27,320.2,250.64860242526265,69.55139757473734,train
2019-02-28,246.3,296.57573863805567,-50.27573863805566,train
2019-03-01,313.9,260.22945493943945,53.67054506056053,train
2019-03-02,174.2,292.72876520195166,-118.52876520195167,train
2019-03-03,157.5,227.1959340362222,-69.69593403622221,train
2019-03-04,243.9,221.83460475672297,22.065395243277038,train
2019-03-05,304.5,259.06039808921105,45.43960191078895,train
2019-03-06,313.6,283.20102295584303,30.398977044156993,train
2019-03-07,318.8,285.90071834404876,32.899281655951256,train
2019-03-08,283.1,288.5071758147925,-5.407175814792481,train
2019-03-09,185.2,272.6510313888058,-87.4510313888058,train
2019-03-10,267.4,229.13172793033903,38.26827206966095,train
2019-03-11,249.3,267.6979333143009,-18.39793331430087,train
2019-03-12,156.1,256.5166619789105,-100.41666197891053,train
2019-03-13,167.7,214.2443671611295,-46.544367161129514,train
2019-03-14,179.2,220.05816882848637,-40.858168828486384,train
2019-03-15,248.5,222.7127926002015,25.78720739979849,train
2019-03-16,226.8,252.01139418352685,-25.211394183526835,train
2019-03-17,222.5,239.37248071301678,-16.872480713016785,train
2019-03-18,218.1,237.13116319277518,-19.031163192775182,train
2019-03-19,253.8,234.0836185504389,19.716381449561112,train
2019-03-20,302.2,249.23907241062528,52.960927589374705,train
2019-03-21,246.3,269.57617986784703,-23.27617986784702,train
2019-03-22,288.2,243.12738429755774,45.07261570244225,train
2019-03-23,180.4,263.34096819862316,-82.94096819862315,train
2019-03-24,157.3,213.23770313524454,-55.93770313524453,train
2019-03-25,177.2,204.5078388246285,-27.307838824628504,train
2019-03-26,113.6,212.04843026232163,-98.44843026232164,train
2019-03-27,230.5,180.91525416471285,49.58474583528715,train
2019-03-28,197.2,233.1463158121549,-35.94631581215492,train
2019-03-29,220.8,213.58354410266554,7.21645589733447,train
2019-03-30,226.7,224.16220616631895,2.537793833681036,train
2019-03-31,225.6,225.10554736238885,0.4944526376111469,train
2019-04-01,284.8,223.67747639920887,61.12252360079114,train
2019-04-02,243.1,249.7889920701041,-6.688992070104092,train
2019-04-03,175.8,229.36636869080087,-53.56636869080086,train
2019-04-04,208.0,199.86597679002205,8.134023209977954,train
2019-04-05,180.5,214.9827628890681,-34.48276288906811,train
2019-04-06,199.7,200.5631099919225,-0.8631099919224994,train
2019-04-07,179.9,208.87065245121488,-28.970652451214875,train
2019-04-08,125.2,198.2950529583498,-73.0950529583498,train
2019-04-09,187.6,172.85522214563048,14.744777854369516,train
2019-04-10,180.6,200.57404127920893,-19.974041279208933,train
2019-04-11,192.6,194.27551361658303,-1.6755136165830322,train
2019-04-12,288.7,198.80641666920752,89.89358333079247,train
2019-04-13,186.5,240.97438404591207,-54.474384045912075,train
2019-04-14,212.0,192.39674843509832,19.603251564901683,train
2019-04-15,222.9,206.21831247114255,16.681687528857452,train
2019-04-16,162.3,209.66322444291342,-47.363224442913406,train
2019-04-17,139.6,181.633906050518,-42.033906050518,train
2019-04-18,140.6,171.92423017549817,-31.324230175498172,train
2019-04-19,237.2,171.32370996303285,65.87629003696713,train
2019-04-20,111.2,213.45623931317482,-102.25623931317482,train
2019-04-21,142.5,153.4397022202054,-10.93970222020539,train
2019-04-22,305.1,169.55585698503864,135.54414301496138,train
2019-04-23,147.6,240.55915521078356,-92.95915521078356,train
2019-04-24,146.3,165.5482168525026,-19.248216852502594,train
2019-04-25,180.1,168.6659498435453,11.434050156454703,train
2019-04-26,157.2,182.38009463012668,-25.18009463012669,train
2019-04-27,159.6,170.261598516371,-10.661598516371015,train
2019-04-28,141.5,171.00423025966597,-29.504230259665974,train
2019-04-29,275.6,161.64023752055434,113.95976247944569,train
2019-04-30,152.6,221.67454871330693,-69.07454871330694,train
2019-05-01,173.3,162.78931292782482,10.510687072175187,train
2019-05-02,163.6,175.10637655614605,-11.506376556146051,train
2019-05-03,184.7,169.187745326893,15.51225467310698,train
2019-05-04,197.3,178.33361181247307,18.966388187526945,train
2019-05-05,207.5,182.9981438111148,24.5018561888852,train
2019-05-06,206.6,187.14452445059646,19.45547554940353,train
2019-05-07,279.8,186.528837509154,93.27116249084602,train
2019-05-08,147.2,219.87702373595693,-72.67702373595694,train
2019-05-09,147.1,158.96252327599427,-11.862523275994278,train
